ABA_ROW_NAME,ABA_CODE,MATCH_VARIANT,SPECIES_CODE
Arctic Loon,3.0,arctic loon,arcloo
Pacific Loon,1.0,pacific loon,pacloo
Common Loon,1.0,common loon,comloo
Yellow-billed Loon,2.0,yellow billed loon,yebloo
,nan,nan,
Atlantic Yellow-nosed (Yellow-nosed) Albatross,4.0,atlantic yellow nosed albatross,yenalb2
White-capped Albatross,4.0,white capped albatross,whcalb3
Chatham Albatross,5.0,chatham albatross,shyalb2
Salvin's Albatross,5.0,salvin s albatross,salalb1
Black-browed Albatross,4.0,black browed albatross,bkbalb2
Light-mantled Albatross,5.0,light mantled albatross,limalb1
Wandering Albatross (sp.),5.0,wandering albatross,
Laysan Albatross,2.0,laysan albatross,layalb
Black-footed Albatross,1.0,black footed albatross,bkfalb
Short-tailed Albatross,3.0,short tailed albatross,shtalb
,nan,nan,
Wilson's Storm-Petrel,1.0,wilson s storm petrel,wilstp1
White-faced Storm-Petrel,3.0,white faced storm petrel,wfspet
Black-bellied Storm-Petrel,5.0,black bellied storm petrel,bkbstp2
,nan,nan,
European Storm-Petrel,4.0,european storm petrel,eurstp2
Fork-tailed Storm-Petrel,2.0,fork tailed storm petrel,ftspet
Ringed Storm-Petrel,5.0,ringed storm petrel,rispet1
Swinhoe's Storm-Petrel,5.0,swinhoe s storm petrel,swspet
Leach's Storm-Petrel,1.0,leach s storm petrel,leastp4
Townsend's Storm-Petrel,3.0,townsend s storm petrel,leastp5
Ainley's Storm-Petrel,5.0,ainley s storm petrel,leastp2
Ashy Storm-Petrel,2.0,ashy storm petrel,asspet
Band-rumped Storm-Petrel,2.0,band rumped storm petrel,barstp5
Wedge-rumped Storm-Petrel,4.0,wedge rumped storm petrel,wrspet
Black Storm-Petrel,1.0,black storm petrel,bkspet
Tristram's Storm-Petrel,3.0,tristram s storm petrel,trspet
Least Storm-Petrel,2.0,least storm petrel,lsspet
,nan,nan,
Northern Giant-Petrel,5.0,northern giant petrel,norgip1
Northern Fulmar,1.0,northern fulmar,norful3
Gray-faced Petrel,5.0,gray faced petrel,grwpet2
Providence Petrel,4.0,providence petrel,solpet1
Kermadec Petrel,4.0,kermadec petrel,kerpet
Trindade Petrel,3.0,trindade petrel,tripet1
Herald Petrel,4.0,herald petrel,herpet2
Murphy's Petrel,3.0,murphy s petrel,murpet
Mottled Petrel,2.0,mottled petrel,motpet
Bermuda Petrel,3.0,bermuda petrel,berpet
Black-capped Petrel,2.0,black capped petrel,bkcpet3
Juan Fernandez Petrel,3.0,juan fernandez petrel,jufpet
Hawaiian Petrel,2.0,hawaiian petrel,hawpet1
White-necked Petrel,3.0,white necked petrel,whnpet
Bonin Petrel,3.0,bonin petrel,bonpet
Black-winged Petrel,3.0,black winged petrel,bkwpet
Fea's Petrel,3.0,fea s petrel,feapet2
Zino's Petrel,5.0,zino s petrel,madpet
Cook's Petrel,3.0,cook s petrel,coopet
Stejneger's Petrel,4.0,stejneger s petrel,stepet
Tahiti Petrel,5.0,tahiti petrel,tahpet1
Bulwer's Petrel,3.0,bulwer s petrel,bulpet
Jouanin's Petrel,5.0,jouanin s petrel,joupet
White-chinned Petrel,5.0,white chinned petrel,whcpet1
Parkinson's Petrel,5.0,parkinson s petrel,parpet1
Streaked Shearwater,4.0,streaked shearwater,strshe
Scopoli's Shearwater,2.0,scopoli s shearwater,scoshe1
Cory's Shearwater,1.0,cory s shearwater,corshe1
Cape Verde Shearwater,5.0,cape verde shearwater,cavshe1
Wedge-tailed Shearwater,2.0,wedge tailed shearwater,wetshe
Buller's Shearwater,2.0,buller s shearwater,bulshe
Short-tailed Shearwater,2.0,short tailed shearwater,shtshe
Sooty Shearwater,1.0,sooty shearwater,sooshe
Great Shearwater,1.0,great shearwater,greshe
Pink-footed Shearwater,1.0,pink footed shearwater,pifshe
Flesh-footed Shearwater,3.0,flesh footed shearwater,flfshe
Christmas Shearwater,3.0,christmas shearwater,chrshe
Manx Shearwater,2.0,manx shearwater,manshe
Newell's Shearwater,2.0,newell s shearwater,towshe2
Bryan's Shearwater,5.0,bryan s shearwater,bryshe1
Black-vented Shearwater,1.0,black vented shearwater,bkvshe
Sargasso Shearwater,1.0,sargasso shearwater,audshe
Barolo Shearwater,4.0,barolo shearwater,litshe1
,nan,nan,
Jabiru,4.0,jabiru,jabiru
Wood Stork,1.0,wood stork,woosto
,nan,nan,
Lesser Frigatebird,4.0,lesser frigatebird,lesfri2
Magnificent Frigatebird,1.0,magnificent frigatebird,magfri2
Great Frigatebird,2.0,great frigatebird,grefri
,nan,nan,
Masked Booby,2.0,masked booby,masboo
Nazca Booby,3.0,nazca booby,nazboo1
Blue-footed Booby,4.0,blue footed booby,bfoboo
Brown Booby,2.0,brown booby,brnboo3
Cocos Booby,2.0,cocos booby,brnboo4
